,zipcode_of_incident,count,station_count,total_time
0,94102,75,9,16.80859418931584
1,94103,80,7,53.925316027088016
2,94104,11,2,14.808965517241381
3,94105,34,4,50.271486486486495
4,94107,57,8,31.09753246753246
5,94108,28,4,17.109947643979055
6,94109,82,5,33.97304283604134
7,94110,102,10,14.842289512555382
8,94111,25,3,20.865032258064492
9,94112,93,4,28.57146814404431
10,94114,54,5,52.12601941747573
11,94115,74,5,13.250675324675319
12,94116,63,6,44.30261627906978
13,94117,70,4,13.643799999999997
14,94118,56,5,34.73066964285713
15,94121,45,3,15.735604395604394
16,94122,62,9,24.967249070631958
17,94123,47,3,33.57680555555556
18,94124,92,6,18.9096
19,94127,18,3,232.9193670886077
20,94129,9,3,19.74896551724138
21,94130,5,4,19.106285714285708
22,94131,50,8,16.80497076023392
23,94132,42,5,44.80115606936416
24,94133,49,4,14.140032362459545
25,94134,50,4,31.805870646766184
26,94158,13,3,41.914605263157895
